Название видео,Тип видео,Клики по элементам конечной заставки,Показы элементов конечной заставки,Показы тизеров,Постоянные зрители,Новые зрители,Среднее число просмотров одним пользователем,Уникальные зрители,Средний процент просмотра (%),Отказались от подписки,Новые подписчики,Новые комментарии,Поделились,"Отметки ""Не нравится""","Отметки ""Нравится""",Просмотры,Время просмотра (часы),Подписчики,Показы,CTR для значков видео (%)
Линейная зависимость и линейная независимость. Тема,Тема,9.0,792.0,54.0,325.0,1100.0,1.2833,1465.0,23.93,1.0,8.0,1.0,17.0,4.0,40.0,1880.0,90.9871,7.0,8889.0,14.77
Вычисление определителей по методу Гаусса. Тема,Тема,7.0,467.0,56.0,211.0,585.0,1.2736,815.0,28.95,0.0,6.0,1.0,10.0,2.0,12.0,1038.0,49.8394,6.0,3114.0,15.7
Ограниченные последовательности. Тема,Тема,8.0,372.0,27.0,138.0,726.0,1.1998,876.0,21.47,0.0,3.0,0.0,7.0,0.0,10.0,1051.0,41.9261,3.0,3272.0,18.12
Приведение кривой второго порядка к каноническому виду. Пример,Пример,1.0,121.0,15.0,195.0,511.0,1.3243,740.0,10.13,0.0,1.0,0.0,8.0,2.0,8.0,980.0,38.4302,1.0,4192.0,13.62
Решение неоднородных линейных систем. Тема,Тема,1.0,165.0,24.0,181.0,307.0,1.2854,508.0,25.59,0.0,0.0,1.0,5.0,0.0,12.0,653.0,37.778,0.0,2002.0,10.39
Интерполяция. Тема,Тема,3.0,227.0,41.0,132.0,669.0,1.1716,810.0,18.97,0.0,9.0,1.0,11.0,1.0,16.0,949.0,31.6467,9.0,5698.0,11.65
Матрицы. Тема,Тема,5.0,460.0,34.0,169.0,186.0,1.6592,355.0,29.14,0.0,8.0,0.0,16.0,1.0,8.0,589.0,29.516,8.0,690.0,9.86
Свойства определителей. Тема,Тема,3.0,341.0,39.0,178.0,148.0,1.2925,335.0,39.7,0.0,0.0,0.0,3.0,0.0,12.0,433.0,28.5102,0.0,1560.0,8.85
Процесс ортогонализации Грама-Шмидта. Пример,Пример,5.0,265.0,34.0,338.0,297.0,1.3693,639.0,20.36,0.0,2.0,0.0,4.0,1.0,15.0,875.0,28.2041,2.0,3030.0,11.72
Замена базиса. Тема,Тема,0.0,227.0,13.0,181.0,221.0,1.3102,403.0,26.52,0.0,1.0,0.0,7.0,0.0,11.0,528.0,27.9242,1.0,3519.0,10.29
Метод наименьших квадратов. Тема,Тема,0.0,168.0,16.0,201.0,311.0,1.2263,517.0,20.22,0.0,3.0,0.0,2.0,1.0,15.0,634.0,27.6663,3.0,6469.0,6.42
Линейные операторы. Тема,Тема,2.0,214.0,35.0,259.0,266.0,1.2431,543.0,21.83,0.0,1.0,0.0,5.0,1.0,10.0,675.0,27.381,1.0,3957.0,12.51
Вычисление ранга матрицы методом окаймляющих миноров. Ответы,Ответы,3.0,475.0,27.0,139.0,581.0,1.2428,733.0,32.86,0.0,1.0,1.0,8.0,1.0,13.0,911.0,27.2742,1.0,2098.0,19.73
Ортогональная проекция и ортогональная составляющая. Тема,Тема,2.0,449.0,33.0,159.0,631.0,1.2525,796.0,28.56,0.0,2.0,2.0,11.0,1.0,12.0,997.0,27.2124,2.0,2574.0,17.13
Обратные матрицы. Тема,Тема,2.0,218.0,9.0,146.0,18.0,1.6084,166.0,38.63,0.0,1.0,0.0,2.0,0.0,5.0,267.0,25.8153,1.0,642.0,3.58
Полная матричная алгебра. Тема,Тема,1.0,229.0,28.0,152.0,20.0,1.4068,177.0,50.07,0.0,1.0,0.0,1.0,0.0,3.0,249.0,23.8951,1.0,702.0,6.27
Определители 2-го и 3-го порядков. Тема,Тема,1.0,289.0,28.0,166.0,112.0,1.3536,280.0,42.73,0.0,0.0,1.0,4.0,0.0,3.0,379.0,23.5698,0.0,1307.0,8.26
Градиент. Тема,Тема,2.0,130.0,32.0,175.0,250.0,1.2023,435.0,18.41,0.0,1.0,0.0,5.0,1.0,6.0,523.0,22.7076,1.0,3896.0,8.37
Решение однородных линейных систем. Тема,Тема,1.0,129.0,15.0,118.0,39.0,1.4063,160.0,43.9,0.0,0.0,0.0,1.0,0.0,4.0,225.0,22.1431,0.0,924.0,6.93
Решение линейных систем методом Крамера. Тема,Тема,3.0,190.0,14.0,147.0,5.0,1.4452,155.0,47.31,0.0,0.0,0.0,0.0,0.0,4.0,224.0,21.5485,0.0,523.0,4.02
Теорема Кронекера-Капелли. Тема,Тема,1.0,273.0,26.0,163.0,231.0,1.2184,403.0,32.84,0.0,0.0,0.0,5.0,0.0,7.0,491.0,20.6921,0.0,1762.0,11.18
Вычисление ранга матрицы методом окаймляющих миноров. Тема,Тема,4.0,240.0,18.0,188.0,45.0,1.3678,242.0,47.14,0.0,2.0,0.0,2.0,0.0,4.0,331.0,20.3725,2.0,1299.0,6.7
Разложения определителей. Тема,Тема,1.0,161.0,14.0,147.0,8.0,1.443,158.0,49.7,0.0,0.0,0.0,2.0,0.0,2.0,228.0,20.3649,0.0,776.0,5.41
